DATAFLOW,LAST UPDATE,freq,siec,partner,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AE,MIO_M3,AT,2011,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AE,MIO_M3,AT,2012,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AE,MIO_M3,AT,2013,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AE,MIO_M3,AT,2014,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AE,MIO_M3,AT,2015,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AE,MIO_M3,AT,2016,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AE,MIO_M3,AT,2017,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AE,MIO_M3,AT,2018,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AE,MIO_M3,AT,2019,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AE,MIO_M3,AT,2020,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,1990,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,1991,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,1992,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,1993,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,1994,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,1995,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,1996,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,1997,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,1998,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,1999,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,2000,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,2001,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,2002,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,2003,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,2004,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,2005,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,2006,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,2007,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,2008,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,2009,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,2010,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,2011,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,2012,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,2013,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,2014,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,2015,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,2016,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,2017,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,2018,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,2019,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AFR_OTH,MIO_M3,AT,2020,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,1990,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,1991,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,1992,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,1993,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,1994,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,1995,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,1996,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,1997,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,1998,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,1999,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,2000,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,2001,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,2002,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,2003,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,2004,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,2005,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,2006,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,2007,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,2008,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,2009,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,2010,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,2011,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,2012,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,2013,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,2014,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,2015,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,2016,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,2017,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,2018,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,2019,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AL,MIO_M3,AT,2020,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,1990,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,1991,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,1992,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,1993,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,1994,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,1995,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,1996,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,1997,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,1998,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,1999,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,2000,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,2001,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,2002,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,2003,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,2004,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,2005,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,2006,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,2007,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,2008,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,2009,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,2010,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,2011,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,2012,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,2013,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,2014,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,2015,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,2016,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,2017,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,2018,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,2019,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AM,MIO_M3,AT,2020,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,1990,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,1991,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,1992,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,1993,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,1994,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,1995,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,1996,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,1997,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,1998,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,1999,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,2000,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,2001,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,2002,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,2003,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,2004,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,2005,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,2006,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,2007,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,2008,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,2009,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,2010,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,2011,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,2012,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,2013,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,2014,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,2015,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,2016,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,2017,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,2018,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,2019,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AME_OTH,MIO_M3,AT,2020,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,1990,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,1991,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,1992,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,1993,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,1994,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,1995,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,1996,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,1997,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,1998,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,1999,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,2000,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,2001,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,2002,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,2003,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,2004,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,2005,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,2006,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,2007,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,2008,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,2009,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,2010,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,2011,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,2012,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,2013,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,2014,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,2015,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,2016,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,2017,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,2018,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,2019,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AO,MIO_M3,AT,2020,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AR,MIO_M3,AT,1990,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AR,MIO_M3,AT,1991,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AR,MIO_M3,AT,1992,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AR,MIO_M3,AT,1993,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AR,MIO_M3,AT,1994,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AR,MIO_M3,AT,1995,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AR,MIO_M3,AT,1996,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AR,MIO_M3,AT,1997,0.000,
ESTAT:NRG_TI_GAS(1.0),23/03/22 23:00:00,A,G3000,AR,MIO_M3,AT,1998,0.000,
